solvent_id,temperature_k,pressure_bar,co2_solubility_mol_frac,cation_code,anion_code,ln_pressure_bar,ln_co2_solubility,cation_smiles,anion_smiles,source_record,source_file
C1006_A0054,312.95,193.5,0.7631,C1006,A0054,5.2652775124698366,-0.27036619468654954,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,322.65,231.5,0.7631,C1006,A0054,5.444579873526289,-0.27036619468654954,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,332.45,267.5,0.7631,C1006,A0054,5.589119566336061,-0.27036619468654954,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,342.45,300.5,0.7631,C1006,A0054,5.705447753975262,-0.27036619468654954,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,299.15,175.5,0.7738,C1006,A0054,5.167639042905921,-0.2564418367157244,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,302.45,189.0,0.7738,C1006,A0054,5.241747015059643,-0.2564418367157244,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,313.95,237.0,0.7738,C1006,A0054,5.4680601411351315,-0.2564418367157244,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,322.95,271.5,0.7738,C1006,A0054,5.60396213937399,-0.2564418367157244,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,332.85,307.5,0.7738,C1006,A0054,5.728475087246572,-0.2564418367157244,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1006_A0054,343.15,342.0,0.7738,C1006,A0054,5.834810737062605,-0.2564418367157244,,S(C)(=O)(=O)[O-],zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1163_A0087,298.15,1.25,0.0089,C1163,A0087,0.22314355131420976,-4.721704002244043,OCC[NH2+]CCO,,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1163_A0087,298.15,3.57,0.0251,C1163,A0087,1.2725655957915476,-3.684887432844399,OCC[NH2+]CCO,,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1163_A0087,298.15,5.48,0.0391,C1163,A0087,1.7011051009599243,-3.241632811990817,OCC[NH2+]CCO,,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1163_A0087,298.15,8.49,0.06,C1163,A0087,2.138889000323256,-2.8134107167600364,OCC[NH2+]CCO,,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1163_A0087,298.15,11.48,0.0822,C1163,A0087,2.4406063908914204,-2.4985999769200027,OCC[NH2+]CCO,,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1163_A0087,298.15,15.15,0.1076,C1163,A0087,2.7180005319553784,-2.229334631254453,OCC[NH2+]CCO,,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
C1163_A0087,313.15,1.26,0.0074,C1163,A0087,0.23111172096338664,-4.9062752787720125,OCC[NH2+]CCO,,zenodo_3251643,data\raw\zenodo_3251643\CO2CAPACITY.txt
