il_no,solvent_id,ln_co2_solubility_exp,ln_pressure_mpa,temperature_k,b01_c_c,b03_o_o,b04_n_o,f02_c_c,f04_n_o,h_050,h_053,n_074,ncconj,arr_anion,b02_c_n_anion,b03_n_o_anion,c_025_anion,f03_n_o_anion,f05_n_o_anion,f06_o_o_anion,h_051_anion,nbo_anion,reference,pressure_mpa,co2_solubility_mol_frac,source_sheet,source_file
IL2,[BzMIM][TFES],-0.6539264674066639,3.237893831,373.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],25.480000007543033,0.52,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.6254885320861304,2.788708104,323.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],16.259999998054255,0.535,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.6254885320861304,2.96784707,333.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],19.449999998746343,0.535,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.6254885320861304,3.104138147,343.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],22.28999999113354,0.535,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.6254885320861304,3.210036876,353.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],24.779999995019313,0.535,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.6254885320861304,3.301745303,363.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],27.16000000840615,0.535,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL2,[BzMIM][TFES],-0.6254885320861304,3.382354294,373.2,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,[144],29.44000000410172,0.535,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL3,[C3MPYR][FSI],-6.214608098422191,-4.605170186,298.15,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,[152],0.009999999999880918,0.0020000000000000005,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL3,[C3MPYR][FSI],-4.3428059215206005,-2.997734276,298.15,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,[152],0.049900000011210734,0.012999999999999998,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL3,[C3MPYR][FSI],-3.6888794541139363,-2.301585593,298.15,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,[152],0.10009999996606231,0.025,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL3,[C3MPYR][FSI],-3.036554268074246,-1.609938037,298.15,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,[152],0.19990000009510894,0.048,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL3,[C3MPYR][FSI],-2.659260036932778,-1.204973305,298.15,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,[152],0.299699999897958,0.07,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL3,[C3MPYR][FSI],-2.1803674602697964,-0.693947501,298.15,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,[152],0.49959999986546494,0.113,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL3,[C3MPYR][FSI],-1.8838747581358606,-0.356960699,298.15,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,[152],0.6998000000339749,0.15200000000000002,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL3,[C3MPYR][FSI],-1.575036485716768,-0.000300045,298.15,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,[152],0.9997000000089993,0.207,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL3,[C3MPYR][FSI],-1.422958345491482,0.182321557,298.15,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,[152],1.2000000002472544,0.241,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL3,[C3MPYR][FSI],-1.2447947988461912,0.405865028,298.15,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,[152],1.5005999998056854,0.288,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL3,[C3MPYR][FSI],-1.1488535051048565,0.530510597,298.15,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,[152],1.6997999998599556,0.317,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL3,[C3MPYR][FSI],-1.0613165039244128,0.641801253,298.15,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,[152],1.8998999996041421,0.34600000000000003,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
IL3,[C3MPYR][FSI],-6.214608098422191,-4.615220522,313.15,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,[152],0.009899999998431764,0.0020000000000000005,S4-Experimental data_Unique ILs,data\raw\figshare_29228990\ef5c01345_si_001.xlsx
